_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7251007,PAA224069,VACANT RESIDENCE,5203  COLUMBO ST,PITTSBURGH,15224,350,975,AWJ CONTRACTING,DEMOLITION IN PLACE,6700,f,2022-02-10,2022-02-28,JOE YAKUBISIN,t,f,2022-02-28,PAA,COMPLETE,40.469265,-79.9389135
7251008,DEM210190,VACANT RESIDENCE,327  REYNOLDS ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ACM REMOVED UNDER PAA19-4411 PER ELIZABETH GODUSKY,,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,,
7251009,DEM210191,CITY OWNED PROPERTY,412  26TH ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PAA19-4413 PER ELIZABETH GODUSKY,500,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.335174,-79.8469245
7251010,DEM210194,CITY OWNED PROPERTY,3201  WALNUT ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PAA19-4404 PER ELIZABETH LETURGEY,700,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.330539,-79.8426135
7251011,DEM210195,VACANT RESIDENCE,228  PERRY ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PERMIT PAA19-4412,0,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.3215124550001,-79.8288342389999
7251012,DEM210198,VACAN T RESIDENCE,615  NORTH GRANDVIEW AVE,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT BOILER GASKETS,30,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.337681693,-79.8359835649999
7251013,DEM210225,VACANT RESIDENCE,105  BEAVER ST,SEWICKLEY,15143,0,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT PIPE INSULATION,130,f,2021-12-21,2021-12-24,JOE YAKUBISIN,t,f,2021-12-24,DEM,COMPLETE,40.54383,-80.1846315
7251014,DEM220017,CITY OF MCKEESPORT REGULATED PROPERTY,2207  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PERMIT PAA19-4405,,f,2022-02-04,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251015,DEM220018,CITY OF MCKEESPORT REGULATED PROPERTY,2913  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PAA19-4406,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251016,PAA220178,JEWISH COMMUNITY CENTER - 261 ROSECREST DR,,VERONA,15147,1250,975,AWJ CONTRACTING,REMOVE BOYS/GIRLS LOCKER ROOM FLOOR TILE AND MASTIC,4000,f,2022-03-13,2022-03-28,JOE YAKUBISIN,t,f,2022-03-28,PAA,COMPLETE,40.4897523700001,-79.834942241
7251017,PAA224030,OLYMPIA PARK SHELTER HOUSE,447 HALLOCK STREET,PITTSBURGH,15211,1250,972,SAFECO SERVICES CORPORATION,REMOVE ENTRYWAY; KITCHEN; OFFICE & BATHROOMS FLOOR TILE & MASTIC; BASEMENT BATHROOMS & STORAGE SKIM COAT PLASTER AND BASEMENT SHOWER ROOM TRANSITE COUNTER,4110,f,2022-01-24,2022-02-11,JOE YAKUBISIN,t,f,2022-02-07,PAA,COMPLETE,,
7251018,DEM210188,VACANT RESIDENCE,600  ROMINE AVE,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ACM REMOVED UNDER PERMIT PAA19-4401 PER ELIZABETH GODUSKY,310,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2021-12-07,DEM,COMPLETE,40.3417860180001,-79.8710697509999
7251019,DEM210189,VACANT RESIDENCE,602  ROMINE AVE,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ACM REMOVED UNDER PAA19-4402 PER ELIZABETH GODUSKY,,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.3417860180001,-79.8710697509999
7251020,DEM210192,CITY OWNED PROPERTY,321  28TH ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PAA19-4410 PER ELIZABETH LETURGEY,1200,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.333689,-79.846218
7251021,DEM210193,CITY OWNED PROPERTY,314  27TH ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE 2ND FLOOR HALLWAY FLOORING - SURVEY WITH DEM19-0099,60,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,,
7251022,DEM210196,VACANT RESIDENCE,2915  GAS ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE KITCHEN FLOOR TILE,120,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,,
7251023,DEM210197,VACANT RESIDENCE,2004  FEDERAL ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE KITCHEN & LIVING ROOM DUCT WRAP,5,f,2021-12-07,2022-12-27,ELIZABETH LETURGEY,f,f,2022-12-27,DEM,COMPLETE,40.338063,-79.852554
7251024,DEM220015,CITY OF MCKEESPORT REGULATED PROPERTY,711  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE KITCHEN FLOOR TILE - SURVEY ATTACHEDTO DEM19-0261,150,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251025,DEM220016,CITY OF MCKEESPORT REGULATED PROPERTY,1009  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE ENTRY FLOORING - SURVEY ATTACHED TO DEM19-0267,100,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251026,DEM220019,CITY OF MCKEESPORT REGULATED PROPERTY,1508  EVANS AVE,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE KITCHEN FLOORING SURVEY ATTACHED TO DEM19-0263,120,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.342266,-79.849584
7251027,DEM220020,CITY OF MCKEESPORT REGULATED PROPERTY,907  HUEY ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATMENT COMPLETED UNDER PAA19-4408,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.347504,-79.8592725
7251028,DEM220021,CITY OF MCKEESPORT REGULATED PROPERTY,2910  GARBETT ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE KITCHEN FLOORING - SRURVEY ATTACHED TO DEM19-0262,120,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.342059,-79.8430005
7251029,PAA210582,UPARC BUILDING BUILDING A-8 LABS 102 & 104,3170 WILLIAM PITT WAY,PITTSBURGH,15238,450,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE & MASTIC,600,t,2021-11-10,2021-12-22,JOE YAKUBISIN,t,f,2021-12-22,PAA,COMPLETE,40.544991,-79.827138
7251030,PAA210583,UPARC BUILDING B1 ROOMS 321; 325; 327,3170 WILLIAM PITT WAY,PITTSBURGH,15238,450,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE & MASTIC,936,t,2021-11-10,2021-11-22,JOE YAKUBISIN,t,f,2021-11-22,PAA,COMPLETE,40.544991,-79.827138
7251031,PAA214212,VACANT RESIDENCE,2205  SYLVAN AVE,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,t,2021-08-28,PAA,COMPLETE,,
7251032,PAA214213,VACANT RESIDENCE,3029  AUBERLE ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,2000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,t,2021-08-28,PAA,COMPLETE,40.360698,-79.830135
7251033,PAA214220,VACANT RESIDENCE,2008  FEDERAL ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,f,2021-08-28,PAA,COMPLETE,,
7251034,DEM220022,CITY OF MCKEESPORT REGULATED PROPERTY,609  RIDGE ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PAA19-4409,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.35051,-79.853715
7251035,DEM220023,CITY OF MCKEESPORT REGULATED PROPERTY,1812  SOLES ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",NO ACM IDENTIFIED,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.339494,-79.8485805
7251036,PAA212544,UPARC 2021 O&M,3170 WILLIAM PITT WAY,PITTSBURGH,15238,850,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE; MASTIC; PIPE INSULATION; TRANSITE & SPRAY ON FIREPROOFING FROM VARIOUS LOCATIONS,159,t,2021-10-20,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.544991,-79.827138
7251037,PAA214211,VACANT RESIDENCE,3014  JERSEY ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,t,2021-08-28,PAA,COMPLETE,,
7251038,PAA214214,VACANT RESIDENCE,2103  SYLVAN AVE,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,t,2021-08-28,PAA,COMPLETE,,
7251039,PAA214219,VACANT RESIDENCE,2909  GAS ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,2000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,t,2021-08-28,PAA,COMPLETE,,
7251040,PAA214597,VACANT RESIDENCE,400  PINE ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIALS BEING TREATED AS ACM,950,f,2021-11-22,2022-11-22,JOE YAKUBISIN,f,f,2022-11-22,PAA,EXPIRED,40.351842,-79.877322
7251041,PAA214613,302-304 MANSFIELD BOULEVARD,302  MANSFIELD BLVD,CARNEGIE,15106,200,971,"TRIFECTA TEAM, LLC",REMOVE UNIT #1 1ST FLOOR KITCHEN FLOOR TILE & MASTIC,180,t,2021-11-29,2021-12-10,ELIZABETH LETURGEY,t,f,2021-12-10,PAA,COMPLETE,40.409676,-80.0846865
7251042,PAA222019,UPARC 2022 O&M - 3170 WILLIAM PITT WAY,,CHESWICK,15024,850,971,"TRIFECTA TEAM, LLC",VARIOUS MATERIALS IN VARIOUS LOCATIONS,159,t,2022-01-01,2022-12-31,JOE YAKUBISIN,f,f,2022-12-31,PAA,EXPIRED,40.5428047280001,-79.7999425469999
7251043,PAA214221,VACANT RESIDENCE,2006  FEDERAL ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3000,f,2021-04-12,2022-04-11,JOE YAKUBISIN,t,f,2021-08-28,PAA,COMPLETE,,
7251044,PAA220011,BROUGHTON VFD,1030 COCHRAN MILL RD,PITTSBURGH,15236,1250,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE AND MASTIC FROM FIREHALL BANQUET AREA,4936,f,2022-01-03,2022-01-31,JOE YAKUBISIN,t,f,2022-01-31,PAA,COMPLETE,40.321521,-79.9834275
7251045,PAA220029,FORMER HOLIDAY PARK/REGENCY SCHOOL,4795 HAVANA DR,PLUM,15239,1250,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE AND MASTIC FROM 1ST & 2ND FLOORS AND PIPE FITTINGS INVARIOUS AREAS,3750,t,2022-01-10,2022-10-10,JOE YAKUBISIN,t,f,2022-10-10,PAA,COMPLETE,40.479678,-79.708491
7251046,PAA224071,MUNICIPALITY REGULATED PROPERTY,1834  FEDERAL ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL TREATED AS ACM,1760,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,,
7251047,PAA224072,MUNICIPALITY REGULATED PROPERTY,1830  FEDERAL ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,1536,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,,
7251048,PAA224075,MUNICIPALITY REGULATED PROPERTY,1504  EVANS AVE,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,2187,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,40.34241,-79.849593
7251049,PAA224076,MUNICIPALITY REGULATED PROPERTY,1110  JENNY LIND ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,1024,f,2022-02-07,2022-07-31,JOE YAKUBISIN,t,f,2022-07-31,PAA,COMPLETE,,
7251050,PAA224093,MUNICIPALITY REGULATED PROPERTY,521  5TH AVE,MCKEESPORT,15132,850,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT & RISER PIPE INSULATION THROUGHOUT,2135,f,2022-02-10,2022-08-20,JOE YAKUBISIN,t,f,2022-08-20,PAA,COMPLETE,40.350853253,-79.866838072
7251051,PAA224094,MUNICIPALITY REGULATED PROPERTY,523  5TH AVE,MCKEESPORT,15132,850,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT & RISER PIPE INSULATION THROUGHOUT,2135,f,2022-02-10,2022-08-20,JOE YAKUBISIN,t,f,2022-08-20,PAA,COMPLETE,40.350853253,-79.866838072
7251052,PAA224140,MUNICIPALITY REGULATED PROPERTY,531  5TH AVE,MCKEESPORT,15132,200,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT BOILER WATER TANK BREACHING,250,f,2022-03-28,2022-08-20,JOE YAKUBISIN,f,f,2022-08-20,PAA,EXPIRED,40.350853253,-79.866838072
7251053,UND220010,TOWNE CENTRE OFFICE BUILDING,1789 S BRADDOCK AVE,PITTSBURGH,15218,0,971,"TRIFECTA TEAM, LLC",REMOVE 4TH FLOOR METRO FAMILY PRACTICES GLUE PUCKS,4,t,2022-02-22,2022-02-23,CALI FEENEY,t,f,2022-02-23,UND,COMPLETE,40.424364,-79.8873165
7251054,UND220021,EDGEWORTH CLUB,511  EAST DR,SEWICKLEY,15143,0,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT TANK INSULATION,140,t,2022-03-31,2022-06-20,ELIZABETH LETURGEY,t,f,2022-06-20,UND,COMPLETE,40.546197,-80.18784
7251055,PAA180250,VILLAGE AT PENNWOOD,900  WEST ST,WILKINSBURG,15221,850,965,"CLEANUP SERVICES, INC.",REMOVE FLOOR TILE UNDER CARPET AND MASTIC UNDER TILE ON FIRST FLOOR,2400,t,2018-04-04,2018-06-13,JOE YAKUBISIN,t,f,2018-06-13,PAA,COMPLETE,40.444596,-79.889805
7251056,UND210124,UNIVERSITY SQUARE APARTMENTS,4625  5TH AVE,PITTSBURGH,15213,0,965,"CLEANUP SERVICES, INC.",REMOVE BOILER ROOM PIPE WRAP,110,t,2020-09-14,2020-09-18,CALI FEENEY,t,f,2020-09-18,UND,COMPLETE,40.447413,-79.9480395
7251057,PAA200332,LEMINGTON SENIOR DEVELOPMENT,1625  LINCOLN AVE,PITTSBURGH,15206,1850,964,"HILLTOP RISING, LLC",REMOVE FLOOR TILE FROM BASEMENT THROUGH 4TH FLOOR AND VINYL SHEETING/MASTING FROM 1ST THROUGH 4TH FLOORS,62885,f,2020-07-08,2021-07-08,JOE YAKUBISIN,t,f,2021-07-08,PAA,COMPLETE,40.4604522430001,-79.911437617
7251058,PAA200239,FORMER PNC BANK,820  BROOKLINE BLVD,PITTSBURGH,15226,1750,964,"HILLTOP RISING, LLC",REMOVE PLASTER WALLS 1ST FL TELLER ROOM; FLOOR TILE IN 2ND FL CTR OF ROOM; MAIN AREA; WOMEN'S ROOM; IN BASEMENT AT THE BOTTOM OF STEPS & NEAR VAULT; MASTIC IN 2ND FL MAIN AREA; PIPE INSULATION IN BASEMENT NEAR BOILER & MUD FITTING INSIDE BATHROOM PIP,6072,f,2020-05-15,2021-05-15,JOE YAKUBISIN,t,f,2021-05-15,PAA,COMPLETE,40.393089,-80.019585
7251059,DEM190279,VACANT RESIDENCE,6094  BUTLER ST,PITTSBURGH,15201,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWEREED TO GROUND THEN LOADED INTO TARPED TRUCKS.  ABATEMENT SUPERVISOR ON SITE DURING DEMOLITION.  WATER TO BE USED FOR DUST SUPPRESSION,,f,2019-10-22,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,DEM,COMPLETE,40.469534192,-79.961515053
7251060,DEM190281,VACANT RESIDENCE - 121 ENTERPRISE STREET,,PITTSBURGH,15221,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,,f,2019-10-22,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,DEM,COMPLETE,40.4543667620001,-79.862456293
7251061,PAA224070,MUNICIPALITY REGULATED PROPERTY,735  JENNY LIND ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIALS TREATED AS ACM,1332,f,2022-02-07,2022-07-31,JOE YAKUBISIN,t,f,2022-07-31,PAA,COMPLETE,40.348503,-79.8613605
7251062,PAA224073,MUNICIPALITY REGULATED PROPERTY,1820  EVANS AVE,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,1500,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,40.346168354,-79.849184973
7251063,PAA224074,MUNICIPALITY REGULATED PROPERTY,1507  JENNY LIND ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,3165,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,,
7251064,PAA224077,MUNICIPALITY REGULATED PROPERTY,1217  RAVINE ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,998,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,40.345569,-79.85223
7251065,PAA224078,MUNICIPALITY REGULATED PROPERTY,1303  HAMILTON ST,MCKEESPORT,15132,350,971,"TRIFECTA TEAM, LLC",ALL MATERIAL BEING TREATED AS ACM,2465,f,2022-02-07,2022-07-31,JOE YAKUBISIN,f,f,2022-07-31,PAA,EXPIRED,40.344381,-79.84413
7251066,PAA224095,MUNICIPALITY REGULATED PROPERTY,527  5TH AVE,MCKEESPORT,15132,850,971,"TRIFECTA TEAM, LLC",REMOVE ROOFING DEMO IN PLACE AND PIPE INSULATION IN BASEMENT & RISERS THROUGHOUT THE BUILDING,4047,f,2022-02-09,2022-08-20,JOE YAKUBISIN,t,f,2022-08-20,PAA,COMPLETE,40.350853253,-79.866838072
7251067,PAA224096,MUNICIPALITY REGULATED PROPERTY,531  5TH AVE,MCKEESPORT,15132,850,971,"TRIFECTA TEAM, LLC",REMOVE FLOOR TILE & MASTIC FROM 2ND FL MAIN ROOM3RD FLOOR ROOM-DEMO IN PLACE; FLASHING FROM FRONT SIDE OF BULDING-DEMO IN PLACE AND PIPE INSULATION IN BASEMENT & RISERS THROUGHOUT BUILDING,2135,f,2022-02-09,2022-08-20,JOE YAKUBISIN,t,f,2022-08-20,PAA,COMPLETE,40.350853253,-79.866838072
7251068,DEM190284,VACANT RESIDENCE,3721  BUTLER ST,PITTSBURGH,15201,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,,f,2019-10-21,2019-11-20,JOE YAKUBISIN,t,f,2019-11-20,DEM,COMPLETE,40.469534192,-79.961515053
7251069,DEM192080,VACANT RESIDENCE,100  BROSVILLE ST,PITTSBURGH,15203,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,,f,2019-10-22,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,DEM,COMPLETE,40.424787,-79.9855695
7251070,DEM200021,VACANT RESIDENCE,405 N BEATTY ST,PITTSBURGH,15206,0,961,UNIS DEMOLITION COMPANY,BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INOT TARPED TRUCKS.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS; LOADED TARPED AND SECURED,1500,f,2020-03-15,2020-04-15,ELIZABETH LETURGEY,t,f,2020-04-15,DEM,COMPLETE,40.465485,-79.9249725
7251071,DEM210164,CITY OF PITTSBURGH REGULATED PROPERTY,1402  COLUMBUS AVE,PITTSBURGH,15233,0,961,UNIS DEMOLITION COMPANY,NO ACM FOUND,,f,2021-10-12,2022-01-12,CALI FEENEY,t,f,2022-01-12,DEM,COMPLETE,40.457817,-80.027748
7251072,DEM210165,CITY OF PITTSBURGH  REGULATED PROPERTY,967  KIRKBRIDE ST,PITTSBURGH,15212,0,961,UNIS DEMOLITION COMPANY,NO ACM FOUND,,f,2021-10-12,2022-01-12,CALI FEENEY,t,f,2022-01-12,DEM,COMPLETE,,
7251073,PAA194681,VACANT RESIDENCE - EMERGENCY DEMOLITION,22  LEDLIE ST,PITTSBURGH,15219,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL IS TO BE TREATED AS ASBESTOS CONTANING MATERIAL,1500,f,2019-09-27,2019-10-31,JOE YAKUBISIN,t,f,2019-10-31,PAA,COMPLETE,40.443354,-80.06544
7251074,PAA194688,,424  ROCHELLE ST,PITTSBURGH,15210,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL IT TO BE TREATED AS ACM.  BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,1500,f,2019-10-02,2019-10-16,JOE YAKUBISIN,t,f,2019-10-16,PAA,COMPLETE,40.414867773,-79.990824034
7251075,PAA194795,VACANT RESIDENCE,7245  FRANKSTOWN AVE,PITTSBURGH,15208,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL BEING TREATED AS ASBESTOS CONTAINING MATERIAL,1000,f,2019-12-31,2020-01-31,JOE YAKUBISIN,t,f,2020-01-31,PAA,COMPLETE,40.4568848100001,-79.8929489929999
7251076,PAA200092,SHALER PLAZA - FORMER K-MART,880 BUTLER ST,ETNA,15223,1850,961,UNIS DEMOLITION COMPANY,REMOVE MASTIC FROM 75% OF SALES FLOOR; BOULER GASKETS INSULATION FROM BOILER ROOM AND JOINT COMPOUND FROM MONEY ROOM,58023,f,2020-02-17,2020-03-27,JOE YAKUBISIN,t,f,2020-03-27,PAA,COMPLETE,40.511484,-79.9455555
7251077,PAA204086,VACANT RESIDENCE,18  WHEELER ST,PITTSBURGH,15221,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL BEING TREATED AS ASBESTOS CONTAINING MATERIAL,1250,f,2020-01-24,2020-02-24,JOE YAKUBISIN,t,f,2020-02-24,PAA,COMPLETE,,
7251078,PAA204087,VACANT RESIDENCE,10  WHEELER ST,PITTSBURGH,15221,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL BEING TREATED AS ASBESTOS CONTAINING MATERIAL,1200,f,2020-01-24,2020-02-24,JOE YAKUBISIN,t,f,2020-02-24,PAA,COMPLETE,,
7251079,DEM210166,CITY OF PITTSBURGH REGULATED PROPERTY,844  KIRKBRIDE ST,PITTSBURGH,15212,0,961,UNIS DEMOLITION COMPANY,NO ACM FOUND,,f,2021-10-12,2022-01-12,CALI FEENEY,t,f,2022-01-12,DEM,COMPLETE,,
7251080,DEM210226,VACANT COMMERCIAL STRUCTURE,211  5TH AVE,MCKEESPORT,15132,0,961,UNIS DEMOLITION COMPANY,REMOVE BASEMENT FLOOR TILE,120,f,2022-01-20,2022-07-20,ELIZABETH LETURGEY,t,f,2022-07-20,DEM,COMPLETE,40.350853253,-79.866838072
7251081,PAA194744,1112-1112.5 NORTH MURTLAND,1112 N MURTLAND ST,PENN HILLS,15208,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL TO BE TREATED AS ACM - DUPLEX SHALL BE DEMOLISHED HORIZONTALLY IN SMALL SECTIONS WITH GRAPPLE AND LOWERED TO A TRUCK AND TARPED.  WATER TO BE USED TO PREVENT FUGITIVE EMISSIONS,1200,f,2019-11-22,2019-12-30,JOE YAKUBISIN,t,f,2019-12-30,PAA,COMPLETE,,
7251082,PAA194747,,7706  ALSACE ST,PITTSBURGH,15208,350,961,UNIS DEMOLITION COMPANY,REMOVE WINDOW AND DOOR CAULKING,5,f,2019-11-27,2019-12-30,JOE YAKUBISIN,t,f,2019-12-30,PAA,COMPLETE,,
7251083,PAA204017,COMMERCIAL STRUCTURE,601 N HOMEWOOD AVE,PITTSBURGH,15208,350,961,UNIS DEMOLITION COMPANY,ALL MATERIAL BEING TREATED AS ASBESTOS CONTAINING MATERIAL,2000,f,2020-01-03,2020-01-31,JOE YAKUBISIN,t,f,2020-01-31,PAA,COMPLETE,40.453232402,-79.899024348
